Category,Positive Case,Isolated Case,Discharged Case
6/1/2020,3694,0,3627
6/2/2020,3993,0,3925
6/3/2020,4322,1,4250
6/4/2020,4541,1,4463
6/5/2020,4969,1,4890
6/6/2020,5366,1,5282
6/7/2020,5604,1,5518
6/8/2020,5900,1,5807
6/9/2020,6054,1,5957
6/10/2020,6262,1,6155
6/11/2020,6520,1,6403
6/12/2020,6654,1,6534
6/13/2020,6957,1,6825
6/14/2020,7176,1,7036
6/15/2020,7359,1,7211
6/16/2020,7691,1,7532
6/17/2020,7966,1,7791
6/18/2020,8227,1,8040
6/19/2020,8726,1,8526
6/20/2020,9115,1,8901
6/21/2020,9363,1,9142
6/22/2020,9700,1,9465
6/23/2020,10092,1,9837
6/24/2020,10487,1,10221
6/25/2020,10866,1,10587
6/26/2020,11147,1,10855
6/27/2020,11624,1,11312
6/28/2020,12315,2,11967
6/29/2020,12701,2,12333
6/30/2020,13312,2,12922
7/1/2020,13828,2,13420
7/2/2020,14482,2,14050
7/3/2020,15160,3,14709
7/4/2020,15895,5,15426
7/5/2020,17680,6,17163
7/6/2020,18483,7,17935
7/7/2020,20307,11,19696
7/8/2020,22168,19,21478
7/9/2020,24469,19,23720
7/10/2020,25501,20,24711
7/11/2020,26737,23,25893
7/12/2020,27957,25,27067
7/13/2020,29547,26,28611
7/14/2020,30948,30,29963
7/15/2020,32697,33,31660
7/16/2020,34665,38,33556
7/17/2020,36814,38,35627
7/18/2020,39005,40,37746
7/19/2020,41267,43,39955
7/20/2020,43375,46,42006
7/21/2020,45837,47,44402
7/22/2020,48788,47,47300
7/23/2020,51937,56,50365
7/24/2020,55160,61,53515
7/25/2020,59018,72,57293
7/26/2020,62117,75,60291
7/27/2020,65401,80,63488
7/28/2020,68529,81,66517
7/29/2020,72432,89,70325
7/30/2020,75666,99,73478
7/31/2020,79190,104,76919
8/1/2020,83151,113,80763
8/2/2020,87042,115,84565
8/3/2020,90851,117,88259
8/4/2020,94973,128,92277
8/5/2020,99074,134,96258
8/6/2020,102885,139,99978
8/7/2020,107367,143,104330
8/8/2020,112199,156,109024
8/9/2020,115583,161,112301
8/10/2020,119848,171,116447
8/11/2020,125254,179,121720
8/12/2020,130891,192,127223
8/13/2020,136217,204,132397
8/14/2020,142088,225,138099
8/15/2020,146946,244,142792
8/16/2020,150959,257,146673
8/17/2020,156125,279,151695
8/18/2020,162280,305,157670
8/19/2020,167365,316,162624
8/20/2020,172311,348,167434
8/21/2020,177345,375,172335
8/22/2020,181344,399,176217
8/23/2020,184985,417,179757
8/24/2020,190005,453,184612
8/25/2020,195225,480,189683
8/26/2020,200933,515,195225
8/27/2020,207864,575,201967
8/28/2020,214056,614,207984
8/29/2020,219558,655,213311
8/30/2020,223912,699,217532
8/31/2020,229908,846,223236
9/1/2020,236018,993,229059
9/2/2020,241906,1174,234618
9/3/2020,247527,1454,239800
9/4/2020,253367,2007,244920
9/5/2020,258996,2241,250107
9/6/2020,261149,2317,252026
9/7/2020,261476,2317,252123
9/8/2020,261881,2317,252299
